PERSON,PLACE,ORGANIZATION
Chanese Nguyen,Bo Phloi,RIVEGANG
Cilya Young,Astorga,Association ''Stop à la Malaria''
Tedji Wilson,Jovellanos,l’Office de l’Union Européenne pour la Propriété Intellectuelle
Sinead Ibrahim,Kadi,Police
Bourhanoudine Tellier,Sa Kaeo,Anti explosion Kenya
Ayiana Ferreira,Adro,AWP
Lorita King,Penkridge,PORTA
Lodoiska Pérez,San Carlos,Etat
Shehrazad Adams,Waina,La mairie
Mikal Chazal,Lavaur,ZH
Vangelis Ibrahim,Kozluk,assurances vie et santé
Kalinda Taylor,Wald-Michelbach,Navire impérial
Franco Di,Ecorse,Tous en cuisine
Jack Tellier,Gehrden,ONG rezo-santé
Maely Dupuis,Tlajomulco de Zúñiga,Organisme de Lutte contre le Trafic Illégal de Biens
Hailie Chen,South Sioux City,Hydrobom
Mikal Chazal,Mildura,Eté en Folie
Wafa Fernández,Đại Đồng,Association pour la protection des eaux et forêts
Mami Dassault,Brechin,Interpol
Melysse Dupuis,Băbeni,l’Association ‘’Non au suicide’’
Emelia Carter,Hailun,Association ‘’Non aux femmes battues’’
Silva Da,Água Branca,Organisation des biologistes
Salmane Davis,Sinzing,Association pour un Travail Équitable
Annouchka Martínez,Kentville,Hippower
Tahyss Brown,Ingle Farm,Pompier
Louisa-Rose Green,Bembibre,Ministère des transports
Leontel Alves,Morden,SXT
Franco Di,Grabels,Raffineries familiales prospères
Yamato Trameur,Bodri,BIRMAR
Charles Joseph,Sestu,Coalition pour le Renouveau et l’Honneur
Reihan Ibrahim,Griviţa,Grabitel
Radhia Adams,Balezino,Police départementale
Tehillah Thomas,Gounou Gaya,DDF
Thibault Alekseï,Shimizu,Propriétaire de bateau de plaisance
Tertullien Lee,Sammamish,BU
Franco Di,Prienai,Lotus Bleue
Illi López,Smarhoń,chaque personne pour le même droit
Keloan Flores,Mhango,BLUE
Santos Dos,Zuénoula,Pluton plus
Alain Dupond,Dos Hermanas,ABCer
Irwan Harris,Münnerstadt,ONG Philantropist
Malonn Alves,Sunshine,Anti risques chimiques
Silva Da,Szentendre,Sourire à la vie
Enelya Peter,Christiana,une chance pour tous
Jose-Pierre Ferreira,San Miguel el Alto,Rye Mahalal
Ozvan López,Caoqiao,Organisation de l'aviation civile
Anthelmine Thomas,Chāmpua,Coalition pour la Science Consciente
Bao Ibrahim,Gangtok,PETROMA
Surya Trameur,Xiva,"l’Association ‘’ Un enfant, un foyer"
Eydel Durant,Chikodi,oui au cannabis
Ema Campbell,Sarrians,Pyrolab
Carlos Peter,Dhulagari,Sentinelle
Maxime John,Bhīkhi,banque
Rody Laporal,Severo-Zadonsk,ROUDEX
Chanis Taylor,West Dundee,Organisation de Police Internationale et Régionale
Anni Capelani,Plainview,"Association ‘’Une moto, un casque"
Aloha Li,San Pawl il-Baħar,Rescousse africaine
Liandro Jones,Rānāvāv,"Boite de nuit "" Pretty Woman """
Corantin Hall,Filipeştii de Târg,Thabor Group
Riwen Leguerrec,Lauro de Freitas,helping
Anicia Pautrat,Hluti,une nourriture pour chaque famille
Santos Dos,Crystal Palace,REXA
Cassandra Johnson,Kwakoa,"Je suis trisomie, je suis une personne"
Alcida Parker,Greenbrier,Association ‘’Société sans violence’’
Lyess Rodríguez,Ghugus,"Liberté, Justice et Sécurité"
Najibe Harris,Santo Antônio do Leverger,banque
Seth Lewis,Warnsveld,les hommes au contrôle
Dorinne Jones,Santa Comba Dão,Santé verte
Lilou-Anne González,Ciudad de Allende,Banque
Darline Liu,Ningyang,Comité de Lutte contre les Stupéfiants
Charles Joseph,Avenel,Aircraft
Rock Simporé,Tottenham,Pompier
Léna Trameur,Zutendaal,gang de toxicomanes
Joshua Clavier,Lubumbashi,Service de la Sûreté de Santiago
Grégoire Laporal,Flines-lez-Raches,Tous à l'école
Sylvelie John,Atibaia,« club clean up »
Carolanne Dassault,Anjala,Non à la maltraitance des enfants
Adim Pérez,Bu'ayna-Nujaydat,Ministère de la santé
Charles-Hugo Martin,Shakhan,ministre des affaires étrangères
Zlatko Robinson,Sehore,"un enfant, une famille"
Attilio Adams,Florø,banque
Madden Simporé,Rio do Sul,Santé sans frontière
Nawale Nguyen,Aabenraa,Police départementale
Indie Moore,Poço Branco,Association Avenir Vert
Mauryn Roberts,Hyderābād,Parti pour la Paix et le Développement
Thibault Alekseï,Longtang,Clean Pool
Cedryk Lewis,Brest,Association ‘’Médecin du bout du monde’’
Fredo López,Cordova,ONG Lis-Moi Ta Vie
Silva Da,Pound Ridge,Alimentation universelle africaine
Yousuf González,Karabash,groupement des commerçants locataires
Lodois Lee,Ordes,VIEW
Himed Chazal,Arnstein,marine tunisienne
Misa Williams,Doctor Arroyo,Etat
Safiya Johnson,Temuco,Mouvement de Lutte pour les Autochtones
Gibril Robinson,Fort Bliss,Pompier
Ticiana Wright,Devrek,Agence gouvernementale pour les recouvrements
Léna Trameur,Norderney,Peacemakers
Laurelen Dupuis,E’zhou,Organisation Intergouvernementale pour la défense des droits humains
Greyson Rivera,Shumerlya,motards à vie
Amable Martin,Santa Marta de Ortigueira,entreprise de recyclage des déchets plastique
Syanna Ferreira,Santa Maria de Palautordera,Ong « arbre pour tous »
Khoudjedji Gómez,Trofarello,chaque enfant pour le même droit
Alain Dupond,Canet-en-Roussillon,AFIF
Alyce García,Shaji,les pompiers
Jonathann Trameur,Hamilton,Sauvons l’enfance bienheureuse
Kattia Ramírez,Qarazhal,Front Populaire des Combattants de Paix
Cidalia Walker,Qing’an,Tunisie Hydro-Carbo
Senda Sánchez,Guadalupe Victoria,banque centrale
Analucia Dupond,Huai Khot,ONG Terre Verte
Charles Joseph,Bangil,LabLife
Janita Parker,Rāhuri,Unité de lutte contre le trafic de biens culturels
Gokdeniz Flores,Oakland,DAKAR
Alhya Ali,Hechuan,Trainvel
Enimie Mohamed,Gundlupēt,ONG Share humanity
Balthazar Ahmed,Nambour,SWATT
Nosredine Couatarmanach,Qiryat Mal’akhi,Fin de Vie en Paix
Keyssie Hall,Loanhead,Syndicat des Amoureux du Raggae
Latife Duverney,Bilbao,ANFES
Gisel Torres,Agerola,Eaty
Thiana Lewis,Yaotsu,Educ et Vie
Kaito Thomas,Fraccionamiento Arboledas San Ramón,Bradley Corp
Kaitline Anderson,Ambulong,CDRS
Grégoire Laporal,La Bouilladisse,ministère de la Défense et de la sécurité marine
Sly Liu,Quiévrain,My Nucléis Mont
Presilia Torres,Middlesbrough,Triz
Charles Joseph,Farrington,Laboratoire bien bénévole
Melysse Dupuis,Maryville,CECR
Raky Carter,East Orange,Avenir Climat
Gouler Nelson,Mount Pleasant West,Faiseurs de pains
Josephine Pereira,Kuliyapitiya,Beauty
Lhacene Williams,Novodmitriyevskaya,SSD
Thibault Alekseï,Campina Grande do Sul,Pompier
Guy Evans,Puzi,Hôpital
Luken Wang,Canegrate,Police Britannique
Ilenzo Rodríguez,Ivoz-Ramet,SXT
Ludvick Ahmed,Castleknock,Pétrole pour tous
Ana-Clara Durant,Blue Ash,Musulmanes illuminées d’Asie
Khardiata Roberts,Yerofey Pavlovich,Blakywall
Yousuf González,Talanga,MIDAS
Jully Davis,Beveren,Maçon
Emiline Roberts,Alakak,Usine centrale asiatique
Moundhir Thomas,Neuenbürg,groupement du respect du droit de l'homme
Anna-Rosa Peter,Langepas,Comité pour la Cohésion et la Paix en Égypte
Alena Gómez,Schrozberg,Mairie
Ouarida Williams,Loa Janan,motorcycle
Didem Dufour,Taffūḩ,Dealers aguerris
Loganne Harris,Târgu Cărbuneşti,Filligrane
Athos Flores,Pass Christian,Connecto
Yacime Chazal,Hinna,Sucre
Jurien Rodríguez,Bad Griesbach,Joie enfance lumineuse
Chani Hill,Ashburton,oui à l’interruption volontaire de grossesse
Shayline Hill,Ogawa,Fondation Dassault
Greyson Rivera,Urubamba,XXE
Adonay Clark,Santa Rosa,Hôpital
Abdelhake Miller,Hitzacker,Police
Radhia Adams,Aksu,Stop à la violence faite aux femmes
Thibault Alekseï,Fuglafjørður,Amical des touristes mexicains
Liviana Moore,Gateway,Ong « ma passion »
Naïlah Thompson,Gleno,La Pyramide
Carlos Peter,East Brainerd,Tous unis contre la cherté de la vie
Arlo Lewis,Suresnes,Non au SIDA
Thibault Alekseï,Waxhaw,Salam
Arthur Abert,Persan,Organisation de la Sûreté Mexicaine
Mariano López,Pithorāgarh,Cirque
Sahila Williams,Kaédi,JUD
Lauriano Constant,Az Zaytūnīyah,la Police républicaine
Amantine Müller,Agulu,acteurs de la pédagogie pour la réalisation des projets d’études des élèves
Lil Martínez,Wölfnitz,l’association des étudiants des facultés de sciences
Maely Dupuis,Caruthersville,Let's Fly
Santos Dos,Buriti dos Lopes,Pétrole pour tous
Sevtap Young,Jingzhou,femmes avocates
Fredericque Martínez,Pelsall,SSD
Phi White,Beni Khalled,Gardes-côtes
Fredericque Martínez,Bisingen,VTT
Viet Liu,Santes,Arabie Saoudite
Kenjee Green,Dąbrowa Górnicza,Happy Family
Silva Da,Yalvaç,mille rêves
Thibault Alekseï,Capula,Carnaval
Soudaïs Couatarmanach,Lianhe,ONG Sauvons l’Amazonie
Ayiana Ferreira,Lahaina,Manger
Noeline Martin,Kawm Umbū,Habitant d'Anshan
Rezan Chen,Ibb,Sécurité Féminine
Odric Joseph,Torquay,entreprise de recyclage des déchets plastique
Mauryn Roberts,San Carlos,non à la consommation du tabac
Cléa Destresse,East Elmhurst,Banque
Johary Deneuve,Mbulu,Compagnie Nationale de Navigation Maritime
Luis-Miguel Hassan,Hacienda Santa Fe,Amical des ouvriers Metro Paris
Sosthenes Dupond,Carmelo,La mairie
Charles Laurent,Sânandrei,Pompier
Romualde Clavier,Yelets,Black Brothers
Anina Trameur,Hot Springs,LMV
Abelle Thomas,Princeton,Association des Cheminots
Ema Campbell,Cusseta,fondation Taylor
Caty García,Waldon,Money
Anthelmine Thomas,Knaresborough,Bomos
Ramona Gómez,Helden,centre de recherche Tulin
Euryale Müller,Rionegro,"un enfant, une famille"
Baroudi Hassan,Rāmkola,Womanize
Chanis Taylor,Jena,Organisation guatémaltèque de la santé publique
Diego Sauvage,Parvomay,Disons non au port d’armes à feu
Chaïmaa Wilson,Khorol,syndicat des économistes vétérans
Djuna Smith,Oirschot,BINI RSC
Charles Laurent,Hilvan,gouvernement du Brésil
Jacinthe Hall,Merriam,ONG qui lutte contre la vente des stupéfiants
Ana-Clara Durant,Shevchenkove,Bradley Corp
Estellia Chen,Wynne,Verdad
Alain Dupond,Baiguan,cellule accidents chimiques et biologiques
Innocenzo Jackson,Kadakkavoor,ministère de la Santé
Railley Hall,Ajalpan,ONG Stop Violence
Mellina Couatarmanach,Yahyalı,Syndicat des Agents de la Centrale de Surveillance de Tours
Aiyoub Green,Sapatgrām,JIHU
Ceyhun López,Doddaballapura,Unité de lutte contre les cambriolages
Catherin Williams,Hereford,association des chimistes vétérans
Chjara Nelson,Alvand,Police
Sly Liu,Pinar del Río,syndicats d'infirmières et de sages-femmes
Elin Sánchez,Semenivka,Bomos
Billel Alibert,Luoda,Elaylab
Jemy Alibert,Fuller Heights,Association ‘’Non au trafic des enfants’’
Jack Tellier,Olds,Help
Lisandre Thomas,Ostrava,Grand fournisseur
Comba Evans,Atitalaquia,laboratoire Smith Jounaidi
Ivanoe Nguyen,Farmington,Les garde-côtes japonais
Antoine Duverney,Naters,SJA
Thibault Alekseï,Chapelizod,Université de New York
Lïa Brown,Teocaltiche,Centrale nucléaire bénévole française
Sebastien Martin,Longfeng,Club des Leos
Bolo Destresse,Palagianello,un pour tous
Muge Taylor,Emirgazi,Paris santé de qualité
Viollette Martin,Geva Binyamin,"un étudiant, un métier"
Rasim Evans,Küssnacht,association des étudiants étrangers
Sylvelie John,Villanuova sul Clisi,Association ''Volontaire du Monde''
Maricka Wilson,Hudson,Reporters anti violence
Kina Evans,Elbeuf,Agence pour la Sécurité Routière
Juan-Miguel Brown,Féres,LM
Desty Duverney,Urziceni,Agence Digitale des Grands Événements
Gaddiel Taylor,Zalukokoazhe,"Association ‘’Un Homme, un vote’’"
Nebahat Nelson,Novomikhaylovskiy,Amicale « One Way »
Katell Clark,Az Zulfī,association des Jeunes Artisans
Chamina Anderson,Punjai Puliyampatti,Police
Farda Duverney,Esashi,ONG internatinale AccessLife
Yllan Jones,Olsztyn,Level
Elliott Wright,Bāmor Kalān,Gen tomorrow
Thibault Alekseï,Tortosa,Ong américaine « Health »
Brunel Jackson,Belton,Police départementale
Djelina Ferreira,Dzüünharaa,"La boratoire "" WGF """
Soleyna Müller,Condado,Association des Secouristes de Premier Ordre
Analucia Dupond,Auch,Education féminine universelle
Jibril Destresse,Cumiana,groupe des militants pour la défense des forêts
Malonn Alves,Vitorino Freire,gouvernement du Brésil
Martin Deneuve,La Julia,cellule de lutte contre la contrebande
Cleden Carter,Madison,Société suisse des industries chimiques
Ane Dufour,Pingding,L’Association française des carreleurs
Dmitri Dupond,Civitanova Marche,ABCer
Slavko Li,Narborough,Pour le Sang
Maroan Wright,Marysville,cellule d’analyse de la criminalité
Milda Pautrat,Taperoá,Office national de contrôle de qualité
Deavon Martin,Colihaut,Angel
Mami Dassault,Iconha,Association pour un Travail Équitable
Clady Campbell,Rovenky,Union de la Progression
Angelita Chazal,Martigny-Ville,Compagnie Nationale de Navigation Maritime
Nathan Torres,Aldridge,toujours ensemble
Deeclan Rodríguez,Pazar,Association ''Zéro complexe''
Arthur Fernández,Montigny-lès-Cormeilles,La Dernière Justice
Montserrat González,Trondheim,ZONGTECH
Antoine Duverney,Basse-Goulaine,Maya plus
Florella John,Wiener Neustadt,Non aux trafics des enfants
Steven's Clavier,Romans-sur-Isère,Gencox
Firmaine Pereira,Rheda-Wiedenbrück,Nationalistes
Lauryann Capelani,Bizhbulyak,Bruxos-Pestos
Adilia Lee,Huangmen,Association des Militants de la Paix
Jack Tellier,Takayama,Les Humains d’Abord
Maeva Capelani,Darende,Aéroport de Madagascar
Remicia Wang,Titron,ensemble contre les coureurs de jupon
Wilman Dufour,Marlton,Livres pour la vie
Zinedine Lewis,Kalininsk,Pétroliers très prospères
Redan Ali,Guri-si,étudiants en littérature
Anne-Lise García,Beloslav,association des blessés de mer
Ticiana Wright,Sinnūris,médecin chef aux urgences à l’hôpital de Paris
Marcienne Miller,Árta,Manja Pasta
Dat García,Holyhead,syndicats des avocats vétérans
Ewans Fernández,Kabompo,Home Sweet Home
Kaitlin Wilson,Barro,Aina
Ferruccio Trameur,Union Hill-Novelty Hill,AirCorp
Rislane Dupond,Siwān,Parti Pour la Liberté et la Satisfaction
Kaola Lee,Supía,AirCorp
Francelyne Capelani,Chongoyape,Organisation des biologistes
Alena Gómez,Richterswil,Asociation ‘’des infectiologues d’Allemagne
Silva Da,Arab,Ministère du commerce
Aretha Harris,Balaklava,militants de Front national pour Paix
Keïlan King,Richlands,MIDAS
Elzeard Rivera,Consolacion,Marine Land
Sebastien Couatarmanach,General Miguel Alemán,Association des chercheurs en sciences du New Jersey
Anna Sauvage,Gediz,Stop au cancer
Auguste Ferreira,La Concordia,Untuk Kehi Dupan
Yosr Hernández,Tepeji del Río de Ocampo,Wall
Eddine González,Iğdır,Cotrapêche
Elikya Harris,Acacoyagua,Build It For Good
Hannelore Rodríguez,Camp Swift,Livres pour la vie
Abdalah Brown,Saulx-les-Chartreux,Banque
Aïwen Wright,Altentreptow,Fondation Alaitz
Senda Sánchez,Baixi,Pour la Vie et l’Honneur
Layanna Dufour,Anröchte,non au trafic des enfants
Celin Hernández,Kambia,association des chimistes vétérans
Kaito Thomas,Caazapá,MX vs ATV
Wallys Duverney,New City,L'Observateur International
Oliphie Trameur,Ondjiva,Compagnie aérienne
Malena Pereira,Hebertshausen,L’Institut espagnol de santé publique
Ionis Lee,East Haven,groupe de pêcheurs
Eliseo Lewis,Cullowhee,"Ong « une vie, un bonheur »"
Zlatko Robinson,O Barco de Valdeorras,Hydro Ontario
Alice Parker,Elorrio,Groupe des LGBT
Ovadia Rodríguez,Al Kiswah,happy
Lyess Rodríguez,Belek,Service des Urgences de la forêt
Elin Sánchez,Ngerengere,Ending Aids
Abdelhedi Rodríguez,Vilar de Andorinho,Jumplife
Janita Parker,Maramba,Non au numérique
Amiel Leguerrec,Nerkin Getashen,Segurança
Anne-Laetitia Jones,Gomoh,PONUMA
Houyame Alves,Moriguchi,Protégeons nos lacs
Narjis Young,Drăgăneşti-Olt,toujours ensemble
Senda Sánchez,Likhobory,Ordre de Sauvetage des Migrants
Tycia Phillips,Dibrugarh,Association ‘’Luttons contre la drépanocytose ’’
Annaline John,Kondagaon,"une femme, un pouvoir"
John-Lee Clavier,Kaysville,TIMAT
Brayden Clavier,Amloh,Freedom for all
Dondu Williams,North Riverside,Maroc Essencia
Ivanoe Nguyen,Neubrandenburg,Club Jeunesse Épanouie
Charles Joseph,Sæveland,Star pétro
Guilhen Carter,Kirtland,Interpol
Bruno Alves,Depok,Star pétro
Cyprien Mohamed,Osogbo,Haircare.corp
Manao Smith,Coronel Fabriciano,Association ''Stop à la Malaria''
Santos Dos,Casal Bertone,Collectif des Commerçants de Londres
Carlos Peter,Castro de Rei,Ma Filmograf
Barta Johnson,Lydney,Nascar
Santos Dos,Fayetteville,syndicat des travailleurs de l’industrie chimique vénézuélienne
Almahdi Zhang,Amalfi,laboratoire Ali Gwenna
Assiata Chazal,Santa Ana,Respect et Dignité
Noeline Martin,Pimpama,Pompier
Nahil Pérez,Pānīpat,Syndicat des cultivateurs du Bénin
Dianne Liu,Kaş,Mers assainies
Loetitia Thompson,Conceição do Araguaia,Libertas
Assna Scott,Castillo,"Hôpital "" CHU PZAGA """
Sinaly Ali,Goris,Rescousse africaine
Bourhanoudine Tellier,Dayr Dibwān,ONG Civic Freedom for all
Toma Nelson,Savarkundla,Services du Premier Secours
Ramona Gómez,Banyuwangi,Association de protection des oiseaux
Rody Laporal,Zhuyuan,Agence nationale de protection des biens culturels
Meydi Tellier,Winfield,agence nationale pour la sécurité alimentaire
Roddy Duverney,Cenon,Association ‘’Tous les enfants à l’Ecole’’
Ayele Pereira,Pressbaum,secouristes
Emilio Gómez,Sukagawa,numérisons tout
Housnati Ferreira,Chandler,La santé pour tous
Tilia Torres,Daet,Fuego
Thibault Alekseï,Kandhkot,GlobalHealth
Neri Roberts,Janūb as Surrah,non au trafic des bois
Silva Da,Villagarzón,OSM
Errol Wang,Monterey Park,Janus petroleum
Ludvick Ahmed,Sarcelles,Industrie d’hydrocarbures royales
Chelsee Green,Ilhabela,RTOM
Djessica John,San Fernando,"Un sinistre, une assistance"
Ildefonso Miller,Uglekamensk,ensemble contre la malnutrition
Marian Hernández,Key Biscayne,Hydrocaris
Lodoiska Pérez,Terra Santa,Paix et Sécurité pour Tous
Sinaly Ali,Adamovka,Pompier
Athos Flores,Kapoeta,SITEY
Mayare Gómez,Qā’en,"Un enfant, un sac, un cahier"
Meleane Martin,Tuineje,ordres du 1er secours
Baroudi Hassan,Psie Pole Południe-Kiełczów,ONG Pacifique
Agatha Constant,Kherālu,Joie enfance lumineuse
Lesline Dassault,Narela,Famille Clavier
Franco Di,Barro Alto,Agence Nationale des Sciences Informatiques et Mathématiques d’Espagne
Sylvere Peter,Vol’sk,véhicule
Souraya Dupuis,Kitakata,Urgence
Ferouse Pautrat,Rockcliffe-Smythe,SILENCE
Milena Trameur,Crumlin,BUNI
Izabelle Adams,Strzyżów,services des urgences de l’hôpital
Lullaby Zhang,Samarate,Ong Terre de Vivants
Khadidia Campbell,Nipomo,Association des Journalistes de News York
Dulcie Dupuis,Nova Gorica,Pompier
Eogan Ahmed,Saint Marys,MC Motors
Maxime John,Ljubuški,Laboratoires chimiques sécurisés
Sinead Ibrahim,Mek'ele,Comité des Scientifiques
Arthur Fernández,Pınarbaşı,Brigade anti-criminalité
Anyse Lee,Çüngüş,Gama-téta
Kireg Mohamed,Waco,JBL
Laurent Chazal,Shpola,mafia russe
Zarko Pérez,Canton,stop à l’harcèlement
Fauste Dufour,Poiana Teiului,XCAO
Rose-Heline Chazal,Lede,Association pour la défense des eaux
Cleden Carter,Bato,groupe PureGold
Symphorien Johnson,Argenton-sur-Creuse,Sweet Dream Funeral
Leontel Alves,Kolpny,Agence nationale pour la gestion des déchets radioactifs
Indie Moore,Piscu,Planète verte
Jeanina Müller,Güimar,SSD
Ahsan Carter,Patnanungan,Eté en Folie
Thibault Alekseï,Centerville,ADH
Pierre-Jacques Lewis,Ruzayevka,Chimico-mexico
Shayline Hill,Hillerød,Association «Une vie»
Maxime John,Medulla,"Mon corps, mon choix"
Laurent Chazal,Northgate,S’Épanouir
Placida King,Turmero,Centrale nucléaire bénévole française
Marie-Angelique Anderson,Huaquillas,Collectif des Bons Soignants
Hermann Dufour,Murrieta,Association ‘’Non au trafic des enfants’’
Heli Dupuis,Almora,l’Organisation des jeus d’échecs
Jeanina Müller,Manor,BDF
Liberata Miller,Kalmar,Organisation de Police Internationale et Régionale
Noeline Martin,Coraopolis,Mairie
Gemina Pérez,Larbert,Juntos contra el cáncer
Tomasz Baker,Puerto Natales,Service d'information sur la criminalité organisée
Jack Tellier,Helotes,Usine centrale asiatique
Elikya Harris,Kapchorwa,Chismisto Madi
Desty Duverney,Carnoux-en-Provence,Triz
Thibault Alekseï,Corning,association protégeant les droits des enfants
Edwin Anderson,Rrogozhinë,Tous homophobes
Aarone Smith,Hvidovre,association AEMC
Ardian White,Paredes,L’Association française des carreleurs
Melysa Laporal,Begowāl,PRIMA
Fateh Destresse,Bristol,Asociation ‘’des infectiologues d’Allemagne
Athman Hill,Winchester,Tous unis contre la cherté de la vie
Kina Evans,Buloh Kasap,Nitrate plus
Neserine Phillips,Aridaía,directeur régional de la sécurité routière de Bizerte
Naïlah Thompson,Alausí,Fondation Nelson
Irmgard White,Sahaspur,livres pour Tous
Azel Evans,Pujali,Sacie
Sory-Ibrahim Durant,Pia,Post apocalypse
Grégoire Laporal,Montanaro,Espagne équipement chimique
Juline Miller,Eltingville,YONGA
Tuncay Roberts,La Dorada,Reporters anti violence
Balsam Smith,Radovanu,Police
Laura Chazal,Tuxtla,Pcok
Yeline John,Manchester-by-the-Sea,Mairie
Esperance Li,Santa Maria La Carità,VIEW
Adja Rivera,Los Gabatos,Association ‘’Non au trafic des enfants’’
Maeva Capelani,Klintsy,Club des Patrons de Buenos Aires
Sinaly Ali,Mutterstadt,Segurança
Lakdar Alibert,Flores da Cunha,TALEGH
Kezio Rivera,Fountain,Collectif des Marcheurs Silencieux
Estellia Chen,Balad,"Syndicat des Figurants, Doubleurs et Cascadeurs"
Betina López,Monte Real,Union des États de la Corne de l’Afrique
Anne-Celine Smith,Rusera,construire son avenir
Jonatan Pautrat,Fairwood,AJABEMA
Bruno Alves,Taishihe,Association Pour la Vie
Cyhan Parker,Busca,Pop Stay
Guler Gómez,Wangkui,"une mère, une idole"
Franco Di,Guspini,Labricomma
Jalen Gómez,Forssa,CENN
Gibryl Walker,Camajuaní,CELL
Martin Deneuve,Prattville,liberté pour les transgenres
Louisa-Rose Green,Udobnaya,BGRN
Rislane Dupond,Siderópolis,Police
Icare Smith,Kanekomachi,agence nationale pour la sécurité alimentaire
Consuelo Baker,Safi,plongeurs des garde-côtes espagnols
Jully Davis,Hekou,Al Matirsoui
Bela García,Chanderi,Pompier
Maelysse Destresse,Lopez,premier responsable de la sécurité routière
Marcienne Miller,Plainview,Pompier
Deavon Martin,Steinenbronn,Forces d’intervention routière
Adelaida Jackson,Jiangjia,MOPROX
Harel Fernández,Ribeirão Preto,ensemble contre les coureurs de jupon
Zahera Taylor,Riversdale,Centrale nucléaire socialiste de Russie
Erion Ibrahim,Roschinskiy,SSD
Adim Pérez,Quipapá,Taste Me Groom
Arthur Abert,Malahide,MOROU
Ouarida Williams,Borgerhout,Association des travailleurs de Zoe Production
Bitou Duverney,Cumberland,Unité de lutte contre les cambriolages
Claire-Alix Mitchell,Balqash,Triz
Aretha Harris,Albertslund,Véhicule
Ozvan López,Oceanside,MONOP
Laura Chazal,Tsingoni,Centre poison
Hayri Simporé,Krasnoyarskaya,proviseur du lycée technique de Bourgogne
Diego Sauvage,Rudnichnyy,mille rêves
Ovidiu Martínez,Somerset,Avenir Climat
Laurent Chazal,Navadwīp,Sauvons la chimie appliquée
Brigitta Chapuis,Hrádek nad Nisou,Gouvernement
Boni Dufour,Quzhou,Les messagers de Dieu
Loetitia Thompson,Tarki,Gentix
Ferdaous Chazal,Sint-Amands,Stop aux bavures policières
Mirlene Smith,Honnāli,République islam divin
Corynne Mohamed,El Grullo,MOPROX
Alejandra Carter,Tepecoacuilco de Trujano,MAGLI
Ozvan López,Mornant,Travailleurs de ménages de Strasbourg
Conchetta Turner,Kudāl,Espagne équipement chimique
Alessio Phillips,Weißwasser,Syndic-agric
Lauryana Destresse,Pacific,Ménage hygiénique futuriste
Farda Duverney,La Chapelle-sur-Erdre,Rwanda Pestos
Marcelino Jones,Maltby,non à la fumée
Grégoire Laporal,Candelaria,Prison de Petrov
Daniele Hassan,Moquegua,OMS
Georges-Andre White,Oymak,ONG A.L.P
Auguste Ferreira,Wangpu,Pompier
Ismail Allen,Unión Hidalgo,aveugle mais en vie
Elikya Harris,Mossel Bay,services de secours
Djelina Ferreira,Obrigheim,Association pour une Paix Profonde
Hasane Dupond,Puduvāyal,Les amis de la famille Lewis
Shona Roberts,Kālol,Association des Familles Unifiées
Ouidede Jones,Zaghouan,Police
Gilaine Allen,Bhādra,"une forêt, un patrimoine"
Cyriann Ali,Edegem,Balmar Shop
Thibault Alekseï,Bexley,Agence nationale d egestion des accidents CRBN
Sebastien Couatarmanach,Renens,Police
Sefika Lee,Marmande,Nordistes
Annyvonne González,Cedartown,plongeurs des garde-côtes espagnols
Alcida Parker,Orzu,Comité national de lutte contre les maladies endémiques
Cammie White,Jishu,Renouveau de la Gloire
Sebastien Couatarmanach,Bissau,Police
Eloïse Flores,Tangzhang,Poleuropa
Santos Dos,Pitogo,HEALTHPITAL
Ludmina Parker,Pacé,Peace For All Of Us
Mariza Allen,Tepecik,"Une cause, un combat, un gain"
Adolphe Harris,Issoire,femmes libres
Léna Trameur,Chietla,Palmor
Cilya Young,Villa Hidalgo,Ouvrier
Krisley Chen,Hepo,association d'internes en médecine
Mellina Couatarmanach,Tutova,le préfet maritime
Takine Davis,Rastrick,Service des Urgences de la forêt
Cassandra Johnson,Magangué,Goutte de soude
Ive Hill,Amras,ONG OASIS
Marian Hernández,Diping,oui au mariage homosexuel
Rokhia Destresse,Okegawa,Stop à la violence faite aux femmes
Chad Allen,Araçuaí,Association ‘’Non au trafic des enfants’’
Franco Di,Rödinghausen,FDR
Patrycja Moore,Selsey,une association humanitaire pour la lutte contre la faim
Shanisse Nguyen,Benīganj,PINS
Carlos Peter,Jokioinen,Sweetlife
Surya Trameur,Betim,gouvernement de la Colombie
Yoram Rodríguez,Sobinka,non aux sucreries
Nouzha Constant,Duxbury,planète verte
Herminia Sauvage,Kelaniya,Civil Rights
Noel Liu,Hongwŏn,sauveteurs en mer espagnols
Mohammed-Taha Miller,City of Sammamish,Ministère de la défense
Maelysse Destresse,Columbia,Ambition des Jeunes
Alena Gómez,Dakhla,Organisation mondiale de la Propriété Intellectuelle
Sahila Williams,Independence,ONG Parabole
Ursulla Mohamed,Donji Vakuf,LifeX
Zeinabou Harris,Kesinga,Motox
Lola Lewis,Olival,Stop aux bavures policières
Cedryk Lewis,Batī,Vie et Liberté Pour Mon Peuple
Fructueux Anderson,Soledad de Doblado,Front Populaire des Combattants de Paix
Chjara Nelson,Morris Heights,Etat
Bernadette-Marie Rodríguez,Mersin,Vendi
Mevlout Dufour,Royston,Wall
Elay Jackson,Shimo-furano,Belling
Isatis Sánchez,Mar’ino,ensemble contre le numérique
Naoh Ramírez,Runaway Bay,PESTOS
